OBJECTID,FEATURETYPE,DESCRIPTION,CLASS,FID,NAME,OPERATIONALSTATUS,OWNER,GENERATIONTYPE,PRIMARYFUELTYPE,PRIMARYSUBFUELTYPE,GENERATIONMW,GENERATORNUMBER,SUBURB,STATE,SPATIALCONFIDENCE,REVISED,COMMENT,LATITUDE,LONGITUDE
117,Power Station,A facility used for the generation of electrical power for distribution,Renewable,48,Burrinjuck Power Station,Operational,Eraring Energy,Hydroelectric (Gravity),Water,,27,3,Yass (Murrumbidgee River),New South Wales,4,20161105,,-35.00252,148.583393
118,Power Station,A facility used for the generation of electrical power for distribution,Renewable,49,Awaba,Operational,LMS Energy Generation Pty Ltd,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,1.1,1,Awaba,New South Wales,5,20121109,,-33.02503,151.549719
119,Power Station,A facility used for the generation of electrical power for distribution,Renewable,51,Windy Hill Wind Farm,Operational,RATCH-Australia,Wind Turbine,Wind,,12,20,Ravenshoe,Queensland,5,20130109,,-17.5922,145.5306
120,Power Station,A facility used for the generation of electrical power for distribution,Renewable,52,Starfish Hill Wind Farm,Operational,RATCH-Australia,Wind Turbine,Wind,,34.5,23,Cape Jervis,South Australia,5,20130109,,-35.567765,138.143238
121,Power Station,A facility used for the generation of electrical power for distribution,Renewable,53,Pioneer Sugar Mill,Operational,CSR,Cogeneration - Steam Subcritical,Biomass,Bagasse,67.8,2,Brandon,Queensland,4,20130109,Emission stack count will include milling stacks,-19.557465,147.330801
122,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,54,Moranbah North,Operational,Energy Development Projects (Australia) Pty Ltd,Spark Ignition Reciprocating Engine,Natural Gas,Waste Coal Mine Gas,45.7,15,Moranbah,Queensland,5,20161105,,-21.89665526,147.9506554
123,Power Station,A facility used for the generation of electrical power for distribution,Renewable,55,Koombooloomba,Operational,Stanwell Corporation Ltd,Hydroelectric (Gravity),Water,,7.3,1,Innisfail,Queensland,5,20121109,Power feeds to Kareeya Switchyard,-17.831284,145.603362
124,Power Station,A facility used for the generation of electrical power for distribution,Renewable,56,Invicta Sugar Mill,Operational,CSR,Cogeneration - Steam Subcritical,Biomass,Bagasse,150,3,Giru,Queensland,4,20161105,Emission stack count will include milling stacks,-19.516697,147.106526
125,Power Station,A facility used for the generation of electrical power for distribution,Renewable,57,Wivenhoe,Operational,Stanwell Corporation Ltd,Hydroelectric (Pumped Storage),Water,,4.7,1,Ipswich (Brisbane River),Queensland,5,20161105,,-27.395212,152.609153
126,Power Station,A facility used for the generation of electrical power for distribution,Renewable,58,Terminal Storage,Operational,Hydro-Electric Corp Tasmania/SA Water,Hydroelectric (Gravity),Water,,2.5,1,Tea Tree Gully Adelaide,South Australia,3,20130109,,-34.839323,138.711226
127,Power Station,A facility used for the generation of electrical power for distribution,Renewable,59,Suncoast Gold Macadamia,Operational,AGL Energy Pty Ltd,Steam Subcritical,Biomass,Agricultural Crops and Waste,1.5,1,Gympie,Queensland,5,20130109,,-26.226125,152.698102
128,Power Station,A facility used for the generation of electrical power for distribution,Renewable,60,Rocky Point Sugar Sugar Mill,Operational,Stanwell Corporation Ltd,Cogeneration - Steam Subcritical,Biomass,Bagasse,30,1,Woongoolba,Queensland,5,20130109,Emission stack count will include milling stacks,-27.733449,153.327607
129,Power Station,A facility used for the generation of electrical power for distribution,Renewable,61,Mount Millar Wind Farm,Operational,Meridian Energy Australia,Wind Turbine,Wind,,70,35,Cowell,South Australia,4,20180504,,-33.626728,136.704562
130,Power Station,A facility used for the generation of electrical power for distribution,Renewable,62,Lake Bonney Stage 2 Wind Farm,Operational,Infigen Energy Pty Ltd,Wind Turbine,Wind,,159,53,Millicent,South Australia,3,20130109,,-37.81489402,140.4194991
131,Power Station,A facility used for the generation of electrical power for distribution,Renewable,65,Albany Wind Farm,Operational,Verve Energy,Wind Turbine,Wind,,21.6,12,Albany,Western Australia,5,20171105,,-35.064147,117.797695
132,Power Station,A facility used for the generation of electrical power for distribution,Renewable,66,Wyndham,Operational,LMS Energy,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,1,1,Wyndham,Victoria,3,20161105,,-37.937488,144.590179
133,Power Station,A facility used for the generation of electrical power for distribution,Renewable,67,Wollert,Operational,LMS Energy Generation Pty Ltd,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,6.738,2,Wollert landfill,Victoria,5,20161105,,-37.582957,145.048704
134,Power Station,A facility used for the generation of electrical power for distribution,Renewable,68,Whitwood Road,Operational,LMS Energy Generation Pty Ltd,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,1,1,Ipswich,Queensland,3,20161105,,-27.659014,152.823743
135,Power Station,A facility used for the generation of electrical power for distribution,Renewable,69,Toora Wind Farm,Operational,RATCH-Australia,Wind Turbine,Wind,,21,12,Toora,Victoria,5,20161105,,-38.64506,146.344132
136,Power Station,A facility used for the generation of electrical power for distribution,Renewable,70,Ti Tree Bioenergy,Operational,Veolia Environmental Services (Aust) Pty Ltd,Compression Reciprocating Engine,Biogas,Landfill Methane,3.3,,Willowbank,Queensland,5,20130109,,-27.680164,152.659295
137,Power Station,A facility used for the generation of electrical power for distribution,Renewable,72,Roghan Road,Operational,Energy Developments LFG (Qld) Pty Ltd,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,2,1,Fitzgibbon,Queensland,4,20161105,,-27.338768,153.03435
138,Power Station,A facility used for the generation of electrical power for distribution,Renewable,73,Rochedale,Operational,LMS Energy Generation Pty Ltd,Compression Reciprocating Engine,Biogas,Landfill Methane,4,4,Rochdale,Queensland,5,20180611,,-27.559117,153.123634
139,Power Station,A facility used for the generation of electrical power for distribution,Renewable,74,Plane Creek Sugar Mill,Operational,Sucrogen (Plane Creek Mill) Pty Ltd,Steam Subcritical,Biomass,Bagasse,14,2,Sarina,Queensland,4,20130109,Emission stack count will include milling stacks,-21.428223,149.215912
140,Power Station,A facility used for the generation of electrical power for distribution,Renewable,78,Browns Plains,Operational,Energy Developments LFG (Qld) Pty Ltd,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,2.2,2,Browns Plains,Queensland,5,20130109,,-27.672131,153.066346
141,Power Station,A facility used for the generation of electrical power for distribution,Renewable,79,Brooklyn,Operational,Energy Developments LFG (Victoria) Pty Ltd,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,2.83,2,Brooklyn,Victoria,5,20121109,,-37.817967,144.831876
142,Power Station,A facility used for the generation of electrical power for distribution,Renewable,80,Berwick,Operational,Energy Developments LFG (Victoria) Pty Ltd,Cogeneration - Spark Ignition Reciprocat,Biogas,Landfill Methane,7.2,2,Berwick,Victoria,3,20161105,Berwick Landfill is presumed to be Stevenson Road Landfill,-38.119702,145.266461
143,Power Station,A facility used for the generation of electrical power for distribution,Renewable,82,Broadmeadows,Operational,Energy Developments LFG (Victoria) Pty Ltd,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,12.2,7,Campbellfield,Victoria,5,20161105,Broadmeadows Landfill is presumed to be Bollinda Road Landfill,-37.687786,144.966319
144,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,85,Energy Brix,Operational,Energy Brix (Aust) Corp,Steam Subcritical,Coal,Brown Coal,195,5,Morwell,Victoria,5,20161105,"Generating Units 1x24, 2x33, 1x30, 1x75",-38.25456,146.413722
145,Power Station,A facility used for the generation of electrical power for distribution,Renewable,86,Lake Glenmaggie,Operational,Pacific Hydro Investments Pty Ltd,Hydroelectric (Gravity),Water,,4,2,Glenmaggie,Victoria,3,20121109,,-37.904745,146.801085
146,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,87,Hazelwood,Operational,Hazelwood Power,Steam Subcritical,Coal,Brown Coal,1600,8,Hazelwood,Victoria,5,20121109,,-38.273103,146.392263
147,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,91,Longford,Operational,TRUenergy,Open Cycle Gas Turbine,Natural Gas,,31,6,Longford,Victoria,5,20161105,,-38.2235817,147.1657126
148,Power Station,A facility used for the generation of electrical power for distribution,Renewable,93,Mornington,Operational,LMS Generation Pty Ltd,Spark Ignition Reciprocating Engine,Biogas,Landfill Methane,1,1,Fingal,Victoria,4,20161105,,-38.391631,144.855322
149,Power Station,A facility used for the generation of electrical power for distribution,Renewable,95,Rubicon,Operational,AGL Energy Pty Ltd,Hydroelectric (Gravity),Water,,13.55,1,Rubicon,Victoria,5,20161105,,-37.32722,145.86052
150,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,96,Somerton,Operational,AGL Energy Pty Ltd,Open Cycle Gas Turbine,Natural Gas,,160,4,Somerton,Victoria,5,20121109,,-37.631822,144.953077
151,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,97,Symex Port Melbourne,Operational,Symex Holding Ltd,Open Cycle Gas Turbine,Natural Gas,,5.9,,Port Melbourne,Victoria,4,20121109,,-37.829794,144.944365
152,Power Station,A facility used for the generation of electrical power for distribution,Renewable,102,Bogong (Mount Beauty Hydro Scheme),Operational,AGL Energy Pty Ltd,Hydroelectric (Gravity),Water,,300,8,Bogong,Victoria,5,20161105,"Generating Units 2x80, 6x25",-36.80546098,147.228034
153,Power Station,A facility used for the generation of electrical power for distribution,Renewable,103,Clover,Operational,AGL Energy Pty Ltd,Hydroelectric (Gravity),Water,,30,2,Bogong,Victoria,5,20161105,,-36.785281,147.220466
154,Power Station,A facility used for the generation of electrical power for distribution,Renewable,104,McKay Creek (Mount Beauty Hydro Scheme),Operational,AGL Energy Pty Ltd,Hydroelectric (Gravity),Water,,150,6,Falls Creek,Victoria,5,20161105,,-36.858394,147.234542
155,Power Station,A facility used for the generation of electrical power for distribution,Renewable,105,West Kiewa (Mount Beauty Hydro Scheme),Operational,AGL Energy Pty Ltd,Hydroelectric (Gravity),Water,,62,2,Mount Beauty,Victoria,5,20161105,,-36.760066,147.186048
156,Power Station,A facility used for the generation of electrical power for distribution,Renewable,106,Murray 2,Operational,Snowy Hydro Ltd,Hydroelectric (Gravity),Water,,552,4,Khancoban,New South Wales,5,20121109,,-36.242344,148.136247
157,Power Station,A facility used for the generation of electrical power for distribution,Renewable,107,Murray 1,Operational,Snowy Hydro Ltd,Hydroelectric (Gravity),Water,,950,10,Khancoban,New South Wales,5,20121109,,-36.246713,148.190095
158,Power Station,A facility used for the generation of electrical power for distribution,Renewable,110,Cape Sir William Grant Wind Farm,Operational,Pacific Hydro Pty Ltd,Wind Turbine,Wind,,54,27,Portland,Victoria,3,20121109,,-38.39759342,141.6208504
159,Power Station,A facility used for the generation of electrical power for distribution,Renewable,111,Cape Nelson South Wind Farm,Operational,Pacific Hydro Pty Ltd,Wind Turbine,Wind,,44,22,Portland West,Victoria,5,20121109,,-38.41199995,141.543
160,Power Station,A facility used for the generation of electrical power for distribution,Renewable,112,Cape Nelson North Wind Farm,Operational,Pacific Hydro Pty Ltd,Wind Turbine,Wind,,22,11,Portland West,Victoria,3,20121109,,-38.367637,141.542959
161,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,113,Ballarat Base Hospital,Operational,Ballarat Base Hospital,Compression Reciprocating Engine,Natural Gas,,3,,Ballarat Central,Victoria,4,20161105,,-37.559607,143.846918
162,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,114,Anglesea,Operational,Alcoa of Australia Ltd,Steam Subcritical,Coal,Brown Coal,165,1,Anglesea,Victoria,5,20161105,,-38.386056,144.182789
163,Power Station,A facility used for the generation of electrical power for distribution,Renewable,115,Remount,Operational,LMS Energy Generation Pty Ltd,,Biogas,Landfill Methane,2.2,2,Mowbray,Tasmania,3,20170304,,-41.395049,147.155425
164,Power Station,A facility used for the generation of electrical power for distribution,Renewable,116,Wayatinah,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric (Gravity),Water,,38.3,3,Wayatinah,Tasmania,5,20170304,,-42.427176,146.534709
165,Power Station,A facility used for the generation of electrical power for distribution,Renewable,117,Tungatinah,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric (Gravity),Water,,125,5,Tarraleah,Tasmania,5,20170304,,-42.296671,146.456543
166,Power Station,A facility used for the generation of electrical power for distribution,Renewable,118,Tods Corner,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric (Gravity),Water,,1.7,1,Central Plateau,Tasmania,5,20170304,,-41.970732,146.793785
167,Power Station,A facility used for the generation of electrical power for distribution,Renewable,119,Tarraleah,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric (Gravity),Water,,90,6,Tarraleah,Tasmania,5,20170304,,-42.301208,146.457156
168,Power Station,A facility used for the generation of electrical power for distribution,Renewable,122,Meadowbank,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric (Gravity),Water,,40,1,Meadowbank,Tasmania,5,20170304,,-42.611199,146.845676
169,Power Station,A facility used for the generation of electrical power for distribution,Renewable,123,Liapootah,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric (Gravity),Water,,87.3,3,Wayatinah,Tasmania,5,20170304,,-42.376317,146.50989
170,Power Station,A facility used for the generation of electrical power for distribution,Renewable,125,Cluny,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric (Gravity),Water,,17,1,Ouse,Tasmania,5,20170304,,-42.50642303,146.6811623
171,Power Station,A facility used for the generation of electrical power for distribution,Renewable,126,Catagunya,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric (Gravity),Water,,48,2,Ouse,Tasmania,5,20170304,,-42.45238115,146.5976867
172,Power Station,A facility used for the generation of electrical power for distribution,Renewable,127,Butlers Gorge,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric (Gravity),Water,,14.4,1,Butlers Gorge,Tasmania,5,20170304,,-42.26689751,146.2617581
173,Power Station,A facility used for the generation of electrical power for distribution,Renewable,129,Rowallan,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric (Gravity),Water,,10.5,1,Mersey Forest,Tasmania,5,20170304,,-41.72952308,146.2175929
174,Power Station,A facility used for the generation of electrical power for distribution,Renewable,131,Lower Lake Margaret,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric (Gravity),Water,,3.2,1,Lake Margaret,Tasmania,5,20170304,,-42.01471994,145.5261095
175,Power Station,A facility used for the generation of electrical power for distribution,Renewable,132,Lemonthyme,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric (Gravity),Water,,81.6,1,Mersey Forest,Tasmania,5,20170304,"Generating Units 1x51,1x30.6",-41.603763,146.139022
176,Power Station,A facility used for the generation of electrical power for distribution,Renewable,133,Upper Lake Margaret,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric (Gravity),Water,,8.4,7,Lake Margaret,Tasmania,4,20170304,,-42.004567,145.543699
177,Power Station,A facility used for the generation of electrical power for distribution,Renewable,135,Fisher,Operational,Hydro-Electric Corporation (Tasmania),Hydroelectric (Gravity),Water,,43.2,1,Mersey Forest,Tasmania,5,20170304,,-41.67319259,146.2686839
178,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,138,Tamar Valley,Operational,Aurora Energy (Tamar Valley),Combined Cycle Gas Turbine,Natural Gas,,390,5,Bell Bay,Tasmania,5,20170304,"Includes CCGT and OCGT (peaking). Generating Units 1x210, 4x45",-41.1401247,146.9036362
179,Power Station,A facility used for the generation of electrical power for distribution,Renewable,145,Inkerman Sugar Mill,Operational,CSR,Cogeneration - Steam Subcritical,Biomass,Bagasse,10.5,2,Home Hill,Queensland,4,20130109,,-19.642155,147.401591
180,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,146,Mackay,Operational,Stanwell Corporation Ltd,Open Cycle Gas Turbine,Natural Gas,,30,1,West Mackay,Queensland,5,20161105,,-21.144566,149.159097
181,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,147,Roma,Operational,Origin Energy,Open Cycle Gas Turbine,Natural Gas,,80,2,Roma,Queensland,5,20130109,,-26.577201,148.840199
182,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,148,Swanbank B,Decommissioned,CS Energy,Steam Subcritical,Coal,Black Coal,480,4,Swanbank,Queensland,5,20160405,Swanbank B was closed 24 May 2012,-27.66006546,152.8144521
183,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,149,Swanbank E,Operational,CS Energy,Combined Cycle Gas Turbine,Natural Gas,,385,1,Swanbank,Queensland,5,20121109,,-27.65537431,152.8179382
184,Power Station,A facility used for the generation of electrical power for distribution,Renewable,150,Wivenhoe Hydroelectric,Operational,CS Energy,Hydroelectric (Pumped Storage),Water,,500,2,Split Yard Creek,Queensland,5,20161105,,-27.37222139,152.6320276
185,Power Station,A facility used for the generation of electrical power for distribution,Renewable,151,Barron Gorge,Operational,Stanwell Corporation Ltd,Hydroelectric (Run of River),Water,,60,2,Kuranda,Queensland,4,20161105,Underground power station,-16.850199,145.646495
186,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,152,Braemar 1,Operational,Alinta Energy,Open Cycle Gas Turbine,Natural Gas,Coal Seam Gas,504,3,Kogan,Queensland,5,20130109,,-27.11093403,150.9053369
187,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,153,Braemar 2,Operational,Arrow Energy,Open Cycle Gas Turbine,Natural Gas,Coal Seam Gas,519,3,Kogan,Queensland,3,20140301,,-27.11281127,150.9048783
188,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,154,Condamine A,Operational,Queensland Gas Company,Combined Cycle Gas Turbine,Natural Gas,Coal Seam Gas,144,3,Columboola,Queensland,3,20160405,"Generating Units 2x43, 1x57",-26.66822221,150.2700145
189,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,155,Daandine,Operational,Energy Infrastructure Investments Pty Ltd,Compression Reciprocating Engine,Natural Gas,Coal Seam Gas,33,11,Kogan,Queensland,4,20161105,,-27.08631997,150.9430055
190,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,156,Darling Downs,Operational,Origin Energy,Combined Cycle Gas Turbine,Natural Gas,Coal Seam Gas,644,4,Kogan,Queensland,3,20130109,"Generating Units 1x280, 3x121",-27.11689141,150.894217
191,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,157,German Creek,Operational,Energy Developments CSM (Qld) Pty Ltd,Spark Ignition Reciprocating Engine,Natural Gas,Waste Coal Mine Gas,45.2,16,Middlemount,Queensland,3,20160405,,-22.928147,148.551497
192,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,158,Gladstone,Operational,GPS Joint Venture,Steam Subcritical,Coal,Black Coal,1680,6,Callemondah,Queensland,5,20130109,10MW from renewable fuels - wood waste,-23.850753,151.218653
193,Power Station,A facility used for the generation of electrical power for distribution,Renewable,159,Isis Central Sugar Mill,Operational,AGL Energy Pty Ltd,Cogeneration - Steam Subcritical,Biomass,Bagasse,25,4,Isis Central,Queensland,5,20130109,,-25.193986,152.208556
194,Power Station,A facility used for the generation of electrical power for distribution,Renewable,160,Kalamia Sugar Mill,Operational,Sucrogen (Kalamia) Pty ltd,Steam Subcritical,Biomass,Bagasse,9,1,Brandon,Queensland,3,20130109,,-19.522339,147.415237
195,Power Station,A facility used for the generation of electrical power for distribution,Renewable,161,Kareeya,Operational,Stanwell Corporation Ltd,Hydroelectric (Run of River),Water,,88,5,Cardstone,Queensland,5,20130109,"Generating Units 3x21, 1x18",-17.767002,145.577865
196,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,162,Kogan Creek,Operational,CS Energy,Steam Super Critical,Coal,Black Coal,744,1,Brigalow,Queensland,4,20160405,,-26.91768333,150.7492833
197,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,163,Millmerran,Operational,Intergen,Steam Super Critical,Coal,Black Coal,856,2,Grays Gate,Queensland,5,20130109,,-27.961542,151.278949
198,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,164,Moranbah,Operational,Energy Developments Ltd,Spark Ignition Reciprocating Engine,Natural Gas,Waste Coal Mine Gas,12.56,,Moranbah,Queensland,3,20161105,Imagery too old to pinpoint exact location of facility,-21.98513021,148.0246472
199,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,165,Mount Stuart,Operational,Origin Energy,Open Cycle Gas Turbine,Distillate,Kerosene,423,2,Stuart,Queensland,5,20161105,"Generating Units 2x146, 1x131",-19.33799835,146.8511705
200,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,166,Oakey,Operational,Oakey Power Pty Ltd,Open Cycle Gas Turbine,Natural Gas,,282,2,Oakey,Queensland,5,20130109,,-27.418362,151.679767
201,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,167,Oaky Creek,Operational,EnvironGen (Oaky) Pty Ltd,Spark Ignition Reciprocating Engine,Natural Gas,Waste Coal Mine Gas,20,16,Bundoora,Queensland,4,20121109,"Generating Units 14x1, 2x3",-22.987776,148.581702
202,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,168,Stanwell,Operational,Stanwell Corporation Ltd,Steam Subcritical,Coal,Black Coal,1460,4,Stanwell,Queensland,5,20130109,,-23.50972,150.319466
203,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,169,Tarong,Operational,Tarong Energy Corporation,Open Cycle Gas Turbine,Fuel Oil,,15,1,Tarong,Queensland,3,20130109,,-26.785767,151.917164
204,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,170,Tarong North,Operational,Tarong Energy Corporation,Steam Super Critical,Coal,Black Coal,443,1,Tarong,Queensland,5,20161105,,-26.77576259,151.9146017
205,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,171,Tarong,Operational,Stanwell Corporation Ltd,Steam Subcritical,Coal,Black Coal,1400,4,Tarong,Queensland,5,20130109,,-26.78235751,151.9152732
206,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,172,Townsville ,Operational,RATCH Australia,Combined Cycle Gas Turbine,Natural Gas,Coal Seam Gas,220,2,Yabulu,Queensland,5,20130109,"Generating Units 1x160, 1x82; formerly Townsville GT",-19.201056,146.618707
207,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,173,Yarwun,Operational,Rio Tinto Australia - Yarwun Pty Ltd,Open Cycle Gas Turbine,Natural Gas,,154,,Yarwun,Queensland,4,20130109,,-23.830645,151.15193
208,Power Station,A facility used for the generation of electrical power for distribution,Renewable,174,Macknade Sugar Mill,Operational,Sucrogen (Herbert) Pty ltd,Steam Subcritical,Biomass,Bagasse,8,2,Macknade,Queensland,4,20130109,,-18.589043,146.257961
209,Power Station,A facility used for the generation of electrical power for distribution,Renewable,175,Victoria Sugar Mill,Operational,Sucrogen Pty ltd,Steam Subcritical,Biomass,Bagasse,24,3,Victoria Plantation,Queensland,4,20130109,Emission stack count will include milling stacks,-18.650804,146.201627
210,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,176,Callide C,Operational,CS Energy,Steam Super Critical,Coal,Black Coal,840,2,Mount Murchison,Queensland,5,20161105,Dry cooling towers,-24.344946,150.618181
211,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,177,Callide B,Operational,CS Energy,Steam Subcritical,Coal,Black Coal,700,2,Mount Murchison,Queensland,5,20161105,,-24.34488,150.619749
212,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,178,Callide A,Operational,CS Energy,Steam Subcritical,Coal,Black Coal,30,4,Mount Murchison,Queensland,5,20161105,In 2015 was retrofitted with oxyfuel technology,-24.334025,150.627973
213,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,179,Collinsville,Operational,RATCH Australia,Steam Subcritical,Coal,Black Coal,190,5,Collinsville,Queensland,5,20130109,"Generating Units 3x32, 1x33, 1x66. dry cooling towers",-20.544682,147.804887
214,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,180,Broome,Operational,Energy Developments Ltd,,Natural Gas,,39.6,17,Minyirr,Western Australia,5,20130809,,-17.981027,122.204602
215,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,181,Burrup Peninsula (Karratha Gas Plant),Operational,Woodside Pty Ltd,,Natural Gas,,240,,Burrup,Western Australia,5,20121109,,-20.628649,116.782147
216,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,182,Burrup Peninsula (Pluto Phase 1),Operational,Woodside Pty Ltd,,Natural Gas,,160,,Burrup,Western Australia,5,20121109,,-20.59368,116.78015
217,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,186,Esperance,Operational,Infrastructure Capital Group,,Natural Gas,,33,7,West Beach,Western Australia,5,20171105,,-33.8762,121.8998
218,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,189,Karratha,Operational,ATCO Power,,Natural Gas,,86,2,Stove Hill,Western Australia,5,20130809,,-20.762567,116.837473
219,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,190,Kwinana (Alcoa Refinery),Operational,Alcoa of Australia Ltd,,Natural Gas,,74.5,7,Naval Base,Western Australia,5,20171105,,-32.194635,115.779676
220,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,194,Kwinana,Operational,Verve Energy,Gas Turbine,Natural Gas,,21,1,Naval Base,Western Australia,5,20171105,,-32.19700264,115.7759455
221,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,196,Kwinana NewGen,Operational,Newgen Power Kwinana Partnership,Combined Cycle Gas Turbine,Natural Gas,,320,1,Naval Base,Western Australia,5,20130509,,-32.20198,115.772821
222,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,197,Kwinana Swift,Operational,Western Energy Pty Ltd,,Natural Gas,,120,4,Kwinana Beach,Western Australia,5,20130509,,-32.22425833,115.7782769
223,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,198,Neerabup,Operational,Newgen Neerabup Partnership,,Natural Gas,,330,7,Neerabup,Western Australia,4,20171105,,-31.67125,115.802149
224,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,199,Newman Iron Ore Mine,Operational,Alinta Energy,,Natural Gas,,170,4,Newman,Western Australia,5,20171105,,-23.344275,119.708587
225,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,201,Pinjarra Bauxite Mine and Alumina Refinery,Operational,Alinta Energy,,Natural Gas,,280,2,Oakley,Western Australia,5,20121109,"This facility includes Pinjarra 1 and 2, side by side generators",-32.647303,115.946894
226,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,202,Ravensthorpe,Operational,First Quantum Minerals,,Distillate,,56,,Jerdacuttup,Western Australia,2,20171105,,-33.61,120.36
227,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,203,Wagerup Bauxite Mine and Alumina Refinery,Operational,Alcoa of Australia Ltd,,Natural Gas,,98,4,Wagerup,Western Australia,4,20171105,<Null>,-32.914495,115.916995
228,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,205,West Kalgoorlie,Operational,Verve Energy,,Distillate,,60,2,Yilkari,Western Australia,5,20130509,,-30.780635,121.423355
229,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,206,Port Hedland,Operational,Alinta Energy,,Natural Gas,,126,3,Boodarie,Western Australia,5,20130809,,-20.4283,118.5498
230,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,207,Mount Magnet,Operational,,,Natural Gas,,1.9,,Mount Magnet,Western Australia,5,20121109,Can't find generation capacity but site has expanded and is greater than 1.9,-28.08708434,117.832711
231,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,209,Kalgoorlie Nickel Smelter,Operational,Southern Cross Energy,,Natural Gas,,42,1,Feysville,Western Australia,3,20171105,<Null>,-30.873669,121.484188
232,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,210,Kambalda,Operational,Southern Cross Energy,,Natural Gas,,42,1,Kambalda East,Western Australia,5,20130709,,-31.19193479,121.6740843
233,Power Station,A facility used for the generation of electrical power for distribution,Non Renewable,212,Leinster Nickel Mine,Operational,Southern Cross Energy,,Natural Gas,,59,1,Leinster,Western Australia,4,20171105,,-27.81412138,120.6989963
